Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Cardiff South and Penarth,Lab hold,Lab,Green,73060,39176,221,11767,5459,17428,2908,4493,5661,0,,
Cardiff West,Lab hold,Lab,PC,75697,44757,195,7019,6835,16442,1921,5626,3157,0,,
Carlisle,Lab gain from Con,Lab,Con,77863,45979,152,5200,12929,18129,2982,9295,1922,0,,
Carshalton and Wallington,LD gain from Con,LD,Con,74362,46670,117,7905,12221,6108,20126,5941,1517,0,,
Castle Point,Con hold,Con,RUK,71026,40633,138,3251,15485,9455,1341,12234,2118,0,,
Central Ayrshire,Lab gain from SNP,Lab,SNP,69413,41419,123,6869,6147,18091,983,3420,1039,11222,,
Central Devon,Con hold,Con,Lab,75385,53432,211,61,16831,16770,8232,7784,3338,0,,
Central Suffolk and North Ipswich,Con hold,Con,Lab,73046,46423,215,4290,15144,10854,5407,8806,5652,0,,
Ceredigion Preseli,PC hold,PC,LD,75690,46302,155,14789,4763,5386,6949,5374,1864,0,,
Chatham and Aylesford,Lab gain from Con,Lab,Con,75109,40845,124,1998,11691,13689,2175,9989,2504,0,,
Cheadle,LD gain from Con,LD,Con,74383,50731,110,12235,11446,7909,23681,5149,1630,0,,
Chelmsford,LD gain from Con,LD,Con,76970,50716,139,4753,15461,6108,20214,6754,1588,0,,
Chelsea and Fulham,Lab gain from Con,Lab,Con,78468,47116,184,152,18404,18556,3611,3144,2798,0,,
Cheltenham,LD gain from Con,LD,Con,76144,49542,986,7210,17866,2665,25076,0,3160,0,,
Chesham and Amersham,LD gain from Con,LD,Con,74889,54455,161,5451,18971,3502,24422,5310,1673,0,,
Chester North and Neston,Lab hold,Lab,Con,70215,44694,216,11870,10388,22258,2076,5870,4102,0,,
Chester South and Eddisbury,Con hold,Con,Lab,74284,52486,155,3057,19905,16848,5430,6414,2278,0,,
Chesterfield,Lab hold,Lab,Con,71645,41555,135,10820,8496,19316,2553,7897,2682,0,,
Chichester,LD gain from Con,LD,Con,78374,51947,146,12172,13368,3175,25540,7859,1815,0,,
Chingford and Woodford Green,Con hold,Con,Lab,74010,48512,135,4757,17281,12524,1275,3653,1334,0,,
Chippenham,LD gain from Con,LD,Con,74107,49512,157,8138,14414,3925,22552,6127,1954,0,,
Chipping Barnet,Lab gain from Con,Lab,Con,78038,50859,209,2914,18671,21585,2614,3986,3442,0,,
Chorley,Spk hold,Spk,Green,74801,33964,1198,20575,0,0,0,0,4663,0,,
Christchurch,Con hold,Con,LD,71060,47335,143,7455,16941,7762,9486,8961,1900,0,,
Cities of London and Westminster,Lab gain from Con,Lab,Con,73369,39215,202,2708,12594,15302,4335,2752,2844,0,,
City of Durham,Lab hold,Lab,RUK,70583,40627,165,11757,5221,19131,5920,7374,2803,0,,
Clacton,RUK gain from Con,RUK,Con,78245,45958,111,8405,12820,7448,2016,21225,1935,0,,
Clapham and Brixton Hill,Lab hold,Lab,LD,83114,42741,209,18005,4360,24166,6161,1758,5768,0,,
Clwyd East,Lab gain from Con,Lab,Con,76637,47822,163,4622,13862,18484,1859,7626,1659,0,,
Clwyd North,Lab gain from Con,Lab,Con,75027,41627,111,1196,13598,14794,1685,7000,1391,0,,
Coatbridge and Bellshill,Lab gain from SNP,Lab,SNP,72667,38731,115,6344,1382,19291,671,2601,1229,12947,,
Colchester,Lab gain from Con,Lab,Con,78662,44903,156,8250,10554,18804,6393,6664,2414,0,,
Colne Valley,Lab gain from Con,Lab,Con,72638,46221,139,4963,14007,18970,2007,7298,3480,0,,
Congleton,Lab gain from Con,Lab,Con,74243,50125,153,3387,15488,18875,2785,8245,2007,0,,
Corby and East Northamptonshire,Lab gain from Con,Lab,Con,78770,49589,165,6331,14689,21020,2191,8760,2507,0,,
